exp_id,datetime,git_commit,git_dirty,dataset,task,image,num_steps,schedule,num_epochs,lr,zeta_init,d_init,wave,level,eta,noise_sigma,obs_psnr,psnr,ssim,lpips,nfe_opt,nfe_sample,nfe_total,time_opt_s,time_sample_s,time_total_s
20260815_174050_super_resolution_ffhq_00010,2026-08-15 17:40:50,105e2ca,True,ffhq,super_resolution,00010.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,24.1535,24.772,0.8361,0.1097,300,30,330,17.9,2.1,19.9
20260815_174118_super_resolution_ffhq_00011,2026-08-15 17:41:18,105e2ca,True,ffhq,super_resolution,00011.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.3962,26.7389,0.8643,0.1033,300,30,330,23.8,2.1,25.9
20260815_174146_super_resolution_ffhq_00012,2026-08-15 17:41:46,105e2ca,True,ffhq,super_resolution,00012.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.0132,26.979,0.8894,0.098,300,30,330,23.5,2.2,25.7
20260815_174214_super_resolution_ffhq_00013,2026-08-15 17:42:14,105e2ca,True,ffhq,super_resolution,00013.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,24.7873,24.4848,0.8252,0.0919,300,30,330,23.9,2.1,26.0
20260815_174243_super_resolution_ffhq_00014,2026-08-15 17:42:44,105e2ca,True,ffhq,super_resolution,00014.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.0952,27.5987,0.8101,0.1213,300,30,330,24.3,2.2,26.4
20260815_174311_super_resolution_ffhq_00015,2026-08-15 17:43:11,105e2ca,True,ffhq,super_resolution,00015.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.85,29.4623,0.8845,0.1495,300,30,330,22.9,2.0,24.9
20260815_174340_super_resolution_ffhq_00016,2026-08-15 17:43:40,105e2ca,True,ffhq,super_resolution,00016.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.8883,28.9627,0.8361,0.1239,300,30,330,23.1,2.2,25.3
20260815_174408_super_resolution_ffhq_00017,2026-08-15 17:44:08,105e2ca,True,ffhq,super_resolution,00017.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.2896,29.8577,0.9127,0.0793,300,30,330,22.5,2.3,24.8
20260815_174435_super_resolution_ffhq_00018,2026-08-15 17:44:35,105e2ca,True,ffhq,super_resolution,00018.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.589,27.5659,0.8262,0.1236,300,30,330,23.1,2.2,25.3
20260815_174503_super_resolution_ffhq_00019,2026-08-15 17:45:03,105e2ca,True,ffhq,super_resolution,00019.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.1024,27.8376,0.882,0.0775,300,30,330,23.6,2.1,25.7
20260815_192602_super_resolution_ffhq_00000,2026-08-15 19:26:02,bb1e7c4,True,ffhq,super_resolution,00000.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.7202,28.6922,0.8488,0.1344,300,30,330,23.7,2.1,25.8
20260815_192629_super_resolution_ffhq_00001,2026-08-15 19:26:29,bb1e7c4,True,ffhq,super_resolution,00001.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.7623,28.0798,0.803,0.1753,300,30,330,22.6,2.2,24.8
